index,tools_prediction,ground_truth
40,"[""Crime""]",['Crime']
41,"[""FBICode"", ""Crime""]",['FBI_Code']
42,"[""Crime"", ""District""]","['Crime', 'District', 'FBI_Code']"
43,"[""Crime"", ""FBICode""]","['Crime', 'FBI_Code']"
44,"[""Neighborhood"", ""FBI_Code"", ""Crime""]","['Crime', 'District', 'FBI_Code']"
45,"[""CommunityArea"", ""Crime"", ""FBICode""]","['Crime', 'Community_Area', 'FBI_Code']"
46,"[""CommunityArea"", ""Crime"", ""IUCR""]","['Crime', 'Community_Area', 'IUCR']"
47,"[""CommunityArea"", ""Crime"", ""Ward""]","['Ward', 'Crime']"
48,"[""CommunityArea"", ""Neighborhood""]","['Community_Area', 'Neighborhood']"
49,"[""Ward"", ""Crime""]","['Ward', 'Crime']"
50,"[""CommunityArea"", ""Crime"", ""FBICode""]","['Crime', 'Community_Area', 'FBI_Code']"
51,"[""Crime"", ""Ward""]","['Ward', 'Crime']"
52,"[""Crime"", ""IUCR"", ""CommunityArea""]","['Crime', 'Community_Area', 'IUCR']"
53,"[""Ward"", ""Crime"", ""FBI_Code""]","['Ward', 'Crime', 'FBI_Code']"
54,"[""Crime""]",['Crime']
55,"[""IUCR"", ""Crime""]",['IUCR']
56,"[""District""]",['District']
57,"[""CommunityArea"", ""Ward""]",['Ward']
58,"[""CommunityArea""]",['Community_Area']
59,"[""FBICode"", ""Crime""]",['FBI_Code']
60,"[""IUCR"", ""Crime""]","['Crime', 'IUCR']"
61,"[""Crime"", ""District""]","['Ward', 'Crime']"
62,"[""Crime"", ""District""]","['Crime', 'District']"
63,"[""Crime"", ""District"", ""Ward""]","['Ward', 'Crime', 'District']"
64,"[""FBICode"", ""Crime""]","['Crime', 'FBI_Code']"
65,"[""CommunityArea"", ""Neighborhood""]","['Community_Area', 'Neighborhood']"
66,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
67,"[""Crime"", ""FBICode""]","['Crime', 'Community_Area', 'FBI_Code']"
68,"[""Crime"", ""Ward"", ""IUCR""]","['Ward', 'Crime', 'IUCR']"
69,"[""Crime"", ""IUCR""]","['Crime', 'IUCR']"
70,"[""District"", ""Crime"", ""FBICode""]","['Crime', 'District', 'FBI_Code']"
71,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
72,"[""Crime""]","['Ward', 'Crime']"
73,"[""Ward""]",['Ward']
74,"[""Crime""]",['Crime']
75,"[""CommunityArea""]",['Community_Area']
76,"[""CommunityArea"", ""Crime"", ""Ward""]","['Ward', 'Crime', 'Community_Area']"
77,"[""Crime"", ""FBICode""]","['Crime', 'FBI_Code']"
78,"[""Crime"", ""Ward""]","['Ward', 'Crime']"
79,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
80,"[""Ward"", ""Crime""]","['Ward', 'Crime']"
81,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
82,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
83,"[""CommunityArea"", ""FBICode"", ""Crime""]","['Crime', 'Community_Area', 'FBI_Code']"
84,"[""Ward"", ""Crime""]","['Ward', 'Crime']"
85,"[""Crime"", ""District""]","['Crime', 'District']"
86,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
87,"[""Crime"", ""FBICode""]","['Crime', 'FBI_Code']"
88,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
89,"[""CommunityArea"", ""Crime"", ""Ward""]","['Ward', 'Crime']"
90,"[""CommunityArea""]",['Community_Area']
91,"[""Crime""]",['Crime']
92,"[""District""]",['District']
93,"[""FBICode""]",['FBI_Code']
94,"[""Crime"", ""IUCR""]",['IUCR']
95,"[""Crime"", ""District""]","['Crime', 'District']"
96,"[""CommunityArea""]","['Ward', 'Crime', 'Community_Area']"
97,"[""Crime"", ""CommunityArea""]","['Crime', 'Community_Area']"
98,"[""Crime"", ""District""]","['Crime', 'District', 'IUCR']"
99,"[""Crime"", ""Ward""]","['Ward', 'Crime']"
100,"[""Crime""]","['Crime', 'IUCR']"
101,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area', 'IUCR']"
102,"[""Crime"", ""CommunityArea""]","['Crime', 'Community_Area']"
103,"[""Crime"", ""IUCR""]","['Crime', 'IUCR', 'FBI_Code']"
104,"[""Crime"", ""IUCR""]","['Crime', 'IUCR']"
105,"[""CommunityArea"", ""Crime"", ""IUCR""]","['Crime', 'Community_Area', 'IUCR']"
106,"[""Crime"", ""FBI_Code"", ""District""]","['Crime', 'District', 'FBI_Code']"
107,"[""Crime"", ""District""]","['Crime', 'District', 'IUCR']"
108,"[""Crime""]",['Crime']
109,"[""IUCR"", ""Crime""]",['IUCR']
110,"[""CommunityArea"", ""Ward""]",['Ward']
111,"[""Crime"", ""FBICode""]","['Crime', 'FBI_Code']"
112,"[""Crime"", ""District"", ""IUCR""]","['Crime', 'District', 'IUCR']"
113,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
114,"[""Neighborhood"", ""Crime"", ""IUCR""]","['Crime', 'Community_Area', 'IUCR', 'Neighborhood']"
115,"[""Crime"", ""District""]","['Crime', 'District']"
116,"[""Crime"", ""District"", ""FBICode""]","['Crime', 'District', 'FBI_Code']"
117,"[""Ward"", ""District"", ""Crime""]","['Ward', 'Crime', 'District']"
118,"[""CommunityArea"", ""Crime"", ""FBICode""]","['Crime', 'Community_Area', 'FBI_Code']"
119,"[""Crime"", ""District""]","['Crime', 'District', 'IUCR']"
120,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
121,"[""CommunityArea"", ""Crime"", ""IUCR""]","['Ward', 'Crime', 'IUCR']"
122,"[""Crime"", ""District"", ""IUCR""]","['Crime', 'District', 'IUCR']"
123,"[""District"", ""Crime""]","['Crime', 'District']"
124,"[""CommunityArea"", ""Crime"", ""Ward""]","['Ward', 'Crime']"
125,"[""Ward"", ""CommunityArea""]",['Ward']
126,"[""FBICode"", ""Crime""]",['FBI_Code']
127,"[""District""]",['District']
128,"[""FBICode"", ""Crime""]",['FBI_Code']
129,"[""CommunityArea"", ""Neighborhood""]","['Community_Area', 'Neighborhood']"
130,"[""Crime""]","['Crime', 'IUCR']"
131,"[""Crime"", ""District""]","['Crime', 'District']"
132,"[""Crime"", ""IUCR""]","['Crime', 'IUCR']"
133,"[""Crime"", ""District""]","['Crime', 'District']"
134,"[""Crime"", ""IUCR""]","['Crime', 'IUCR']"
135,"[""Crime"", ""District""]","['Crime', 'District']"
136,"[""CommunityArea"", ""Crime""]","['Crime', 'Community_Area']"
137,"[""Crime""]","['Crime', 'FBI_Code']"
138,"[""CommunityArea"", ""Crime"", ""FBICode""]","['Crime', 'Community_Area', 'FBI_Code']"
139,"[""CommunityArea"", ""Crime"", ""FBICode""]","['Crime', 'the', 'Community_Area', 'FBI_Code']"
140,"[""CommunityArea"", ""Crime"", ""FBICode""]","['Crime', 'Community_Area', 'FBI_Code']"
141,"[""Crime"", ""FBI_Code""]","['Crime', 'FBI_Code']"
142,"[""CommunityArea""]",['Community_Area']
143,"[""CommunityArea""]",['Community_Area']
144,"[""CommunityArea""]",['Community_Area']
145,"[""District""]",['District']
146,"[""District"", ""Crime""]",['District']
147,"[""IUCR""]",['IUCR']
148,"[""IUCR"", ""Crime""]",['IUCR']
149,"[""CommunityArea"", ""Neighborhood""]","['Community_Area', 'Neighborhood']"
150,"[""CommunityArea"", ""Neighborhood""]","['Community_Area', 'Neighborhood']"
151,"[""Neighborhood"", ""CommunityArea""]","['Community_Area', 'Neighborhood']"
152,"[""FBICode"", ""Crime""]","['Crime', 'FBI_Code']"
153,"[""Crime"", ""FBICode""]","['Crime', 'FBI_Code']"
154,"[""Crime"", ""District""]","['Crime', 'FBI_Code']"
155,"[""Crime""]","['Crime', 'IUCR']"
156,"[""Crime"", ""CommunityArea""]","['Crime', 'Community_Area', 'FBI_Code']"
157,"[""CommunityArea"", ""Crime"", ""FBICode""]","['Crime', 'Community_Area', 'FBI_Code']"
158,"[""Crime"", ""District""]","['Crime', 'District']"
159,"[""Crime"", ""FBICode""]","['Crime', 'FBI_Code']"
160,"[""Ward""]",['Ward']
161,"[""Crime""]",['Crime']
162,"[""FBICode""]",['FBI_Code']
163,"[""CommunityArea"", ""Crime"", ""Ward""]","['Ward', 'Crime', 'Community_Area']"
164,"[""Crime"", ""District""]","['Crime', 'District']"
165,"[""CommunityArea"", ""Neighborhood""]","['Community_Area', 'Neighborhood']"
166,"[""Crime"", ""CommunityArea"", ""Neighborhood""]","['Crime', 'Community_Area', 'Neighborhood']"
167,"[""Crime"", ""FBICode""]","['Crime', 'FBI_Code']"
168,"[""District"", ""Crime""]","['Crime', 'District']"
169,"[""Neighborhood"", ""Crime""]","['Crime', 'Community_Area', 'Neighborhood']"
170,"[""Ward""]",['Ward']
171,"[""CommunityArea"", ""Ward""]",['Ward']
172,"[""IUCR"", ""Crime""]",['IUCR']
173,"[""IUCR"", ""Crime""]",['IUCR']
174,"[""Crime"", ""Ward""]","['Ward', 'Crime']"
175,"[""Crime"", ""Ward""]","['Ward', 'Crime']"
176,"[""CommunityArea"", ""Crime""]","['Ward', 'Crime']"
177,"[""Ward"", ""Crime""]","['Ward', 'Crime']"
178,"[""Ward"", ""Crime""]","['Ward', 'Crime']"
179,"[""IUCR"", ""Crime""]","['Crime', 'IUCR']"
180,"[""IUCR"", ""Crime""]","['Crime', 'IUCR']"
181,"[""FBICode"", ""Crime""]","['Crime', 'FBI_Code']"
182,"[""Crime"", ""FBICode""]","['Crime', 'FBI_Code']"
183,"[""District"", ""Crime""]","['Crime', 'District']"
184,"[""Crime"", ""District""]","['Crime', 'District']"
185,"[""District"", ""Crime""]","['Crime', 'District']"
186,"[""CommunityArea"", ""Ward"", ""Crime""]","['Ward', 'Crime']"
187,"[""Crime"", ""IUCR""]","['Crime', 'IUCR']"
